service_id,date,exception_type
1531476,20140606,1
1531476,20140613,1
1531476,20140620,1
1531476,20140627,1
1531476,20140905,1
1531476,20140912,1
1531476,20140919,1
1531476,20140926,1
1531476,20141024,1
1531476,20141031,1
1531436,20140608,1
1531436,20141101,1
1531477,20140704,1
1531477,20140711,1
1531477,20140822,1
1531477,20140829,1
1531437,20140706,1
1531437,20140720,1
1531437,20140727,1
1531437,20140803,1
1531437,20140810,1
1531437,20140817,1
1531437,20140824,1
1531437,20140831,1
11531446,20140716,1
11531446,20140717,1
11531446,20140718,1
11531446,20140722,1
11531446,20140723,1
11531446,20140724,1
11531446,20140725,1
11531446,20140729,1
11531446,20140730,1
11531446,20140731,1
11531446,20140801,1
11531446,20140805,1
11531446,20140806,1
11531446,20140807,1
11531446,20140808,1
11531446,20140812,1
11531446,20140813,1
11531446,20140814,1
1531473,20140530,1
1531473,20140718,1
1531473,20140725,1
1531473,20140801,1
1531473,20140808,1
1531473,20140814,1
1531473,20141110,1
1531438,20140701,1
1531438,20140702,1
1531438,20140703,1
1531438,20140707,1
1531438,20140708,1
1531438,20140709,1
1531438,20140710,1
1531438,20140818,1
1531438,20140819,1
1531438,20140820,1
1531438,20140821,1
1531438,20140825,1
1531438,20140826,1
1531438,20140827,1
1531438,20140828,1
1602900,20140521,1
1602900,20140522,1
1602900,20140526,1
1602900,20140527,1
1602900,20140929,1
1602900,20140930,1
1602900,20141001,1
1602900,20141002,1
1602900,20141006,1
1602900,20141007,1
1602900,20141008,1
1602900,20141009,1
1602900,20141013,1
1602900,20141014,1
1602900,20141015,1
1602900,20141016,1
1602900,20141103,1
1602900,20141104,1
1602900,20141105,1
1602900,20141106,1
1602900,20141112,1
1602900,20141113,1
1602900,20141117,1
1602900,20141118,1
1602900,20141119,1
11531467,20140706,1
11531467,20140713,1
11531467,20140714,1
11531467,20140715,1
11531467,20140720,1
11531467,20140727,1
11531467,20140803,1
11531467,20140810,1
11531467,20140816,1
11531467,20140817,1
11531467,20140824,1
11531467,20140831,1
11539794,20140622,1
1539794,20140621,1
1531467,20140705,1
1531467,20140712,1
1531467,20140713,1
1531467,20140714,1
1531467,20140719,1
1531467,20140726,1
1531467,20140802,1
1531467,20140809,1
1531467,20140815,1
1531467,20140816,1
1531467,20140823,1
1531467,20140830,1
1531446,20140715,1
1531446,20140716,1
1531446,20140717,1
1531446,20140721,1
1531446,20140722,1
1531446,20140723,1
1531446,20140724,1
1531446,20140728,1
1531446,20140729,1
1531446,20140730,1
1531446,20140731,1
1531446,20140804,1
1531446,20140805,1
