stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
2238,,"La Défense (Grande Arche)","Parvis - 92062",48.89200565400341,2.2369831238174327,0,
1831,,"Nanterre-Ville","Maurice Thorez (rue, intersection avec le boulevard du Couchant) - 92050",48.89532514729429,2.1958404738707524,0,
1830,,"Nanterre-Université","Provinces Franµaises (boulevard des) - 92050",48.90145806746532,2.215467319236829,0,
1835,,"Nation","Nation (terre-plein face au 3 place de la) - 75112",48.8484803444062,2.39676520957729,0,
2490,,"Sucy Bonneuil","Parking municipal de la Gare - 94071",48.77105153303763,2.507511268345535,0,
2370,,"Nanterre-Ville","Maurice Thorez (rue, intersection avec le boulevard du Couchant) - 92050",48.89532514729429,2.1958404738707524,0,
2545,,"Charles de Gaulle-Etoile","Grande Armée (2 avenue de la) - 75117",48.87416474488983,2.29507256293689,0,
2131,,"Bussy-Saint-Georges","Gare (Rocade de la) - 77058",48.83665082820275,2.709854058543625,0,
2480,,"Saint-Germain-en-Laye","Surintendance (3 rue de la) - 78551",48.89830860836054,2.09511210577148,0,
1838,,"Nogent-sur-Marne","Sortie Parc Auto - 94052",48.83510877417377,2.4716839161590887,0,
2481,,"Saint-Maur Créteil","Marché (place du, parvis de la gare et 35 rue du Pont de Créteil) - 94068",48.80641960896216,2.47204505094563,0,
1839,,"Noisiel","Jean-Paul Sartre (allée, centre quartier du Luzard) - 77337",48.84348503430221,2.616614613852153,0,
1967,,"Châtelet-Les Halles","Rue Berger - 75101",48.86146371055862,2.346844131603014,0,
1837,,"Neuilly-Plaisance","Gallieni (boulevard, côté pair) - 93049",48.85346032384484,2.5137606489199347,0,
1671,,"Saint-Maur Créteil","Marché (place du, parvis de la gare et 35 rue du Pont de Créteil) - 94068",48.80641960896216,2.47204505094563,0,
1670,,"Saint-Germain-en-Laye","Surintendance (3 rue de la) - 78551",48.89830860836054,2.09511210577148,0,
1636,,"Torcy","Croissy (route de, quartier du Val Maubuée) - 77468",48.83972842272958,2.655903115145281,0,
2053,,"Auber","Mathurins (5/7 rue des) - 75109",48.87260817994105,2.3297068164482293,0,
2532,,"Noisy-le-Grand (Mont d'Est)","Esplanade des Arcades - 93051",48.840882627372274,2.549350971449035,0,
1631,,"Vincennes","Aubert (5 avenue) - 94080",48.84732387116057,2.433531596877892,0,
2340,,"Poissy","George Pompidou (Place) - 78498",48.933164262405,2.041083510970564,0,
2244,,"La Varenne-Chennevières","Pierre Semard (2 avenue) - 94068",48.79493354483859,2.5130447577249475,0,
2300,,"Joinville-le-Pont","Jean Jaurès (rue) - 94042",48.821069678359656,2.4638349563053548,0,
2143,,"Champigny","La Fayette (rue) - 94068",48.80703580209233,2.509901668386353,0,
1970,,"Chatou-Croissy","Paul Flament (3 rue) - 78146",48.885142071685785,2.155625867018615,0,
2140,,"Cergy-Préfecture","Boulevard de l'Oise - 95127",49.03594383494343,2.0801437572429307,0,
2141,,"Cergy-Saint-Christophe","Rue des Pas Perdus - 95127",49.04954211817629,2.0350436480345913,0,
2307,,"Noisy-Champs","Ru de Nesles (boulevard du) - 93051",48.8426611070816,2.578252451182644,0,
2198,,"Fontenay-sous-Bois","Moreau David (place) - 94033",48.8434118592224,2.464815403274336,0,
2306,,"Noisiel","Jean-Paul Sartre (allée, centre quartier du Luzard) - 77337",48.84348503430221,2.616614613852153,0,
